0,0
0.0094188,1.2297e-10
0.018838,1.9675e-09
0.028257,9.9599e-09
0.037675,3.1476e-08
0.047094,7.6839e-08
0.056513,1.5932e-07
0.065932,2.9512e-07
0.075351,5.0338e-07
0.08477,8.0618e-07
0.094188,1.2285e-06
0.10361,1.7983e-06
0.11303,2.5463e-06
0.12244,3.5064e-06
0.13186,4.715e-06
0.14128,6.2117e-06
0.1507,8.0388e-06
0.16012,1.0242e-05
0.16954,1.2868e-05
0.17896,1.5969e-05
0.18838,1.9598e-05
0.1978,2.3812e-05
0.20721,2.867e-05
0.21663,3.4234e-05
0.22605,4.0568e-05
0.23547,4.7741e-05
0.24489,5.5823e-05
0.25431,6.4885e-05
0.26373,7.5004e-05
0.27315,8.6258e-05
0.28257,9.8728e-05
0.29198,0.0001125
0.3014,0.00012765
0.31082,0.00014428
0.32024,0.00016247
0.32966,0.00018232
0.33908,0.00020393
0.3485,0.00022738
0.35792,0.00025279
0.36733,0.00028026
0.37675,0.00030989
0.38617,0.00034178
0.39559,0.00037606
0.40501,0.00041283
0.41443,0.00045221
0.42385,0.00049431
0.43327,0.00053925
0.44269,0.00058715
0.4521,0.00063814
0.46152,0.00069234
0.47094,0.00074988
0.48036,0.00081089
0.48978,0.0008755
0.4992,0.00094384
0.50862,0.001016
0.51804,0.0010922
0.52745,0.0011726
0.53687,0.0012572
0.54629,0.0013463
0.55571,0.0014399
0.56513,0.0015382
0.57455,0.0016414
0.58397,0.0017496
0.59339,0.0018629
0.60281,0.0019816
0.61222,0.0021057
0.62164,0.0022354
0.63106,0.0023709
0.64048,0.0025123
0.6499,0.0026598
0.65932,0.0028135
0.66874,0.0029737
0.67816,0.0031404
0.68758,0.0033138
0.69699,0.0034941
0.70641,0.0036814
0.71583,0.0038759
0.72525,0.0040779
0.73467,0.0042873
0.74409,0.0045045
0.75351,0.0047296
0.76293,0.0049627
0.77234,0.005204
0.78176,0.0054537
0.79118,0.0057119
0.8006,0.0059789
0.81002,0.0062547
0.81944,0.0065396
0.82886,0.0068338
0.83828,0.0071373
0.8477,0.0074505
0.85711,0.0077733
0.86653,0.0081061
0.87595,0.008449
0.88537,0.0088022
0.89479,0.0091657
0.90421,0.0095399
0.91363,0.0099249
0.92305,0.010321
0.93246,0.010728
0.94188,0.011146
0.9513,0.011576
0.96072,0.012017
0.97014,0.01247
0.97956,0.012936
0.98898,0.013413
0.9984,0.013902
1.0078,0.014404
1.0172,0.014919
1.0267,0.015446
1.0361,0.015987
1.0455,0.01654
1.0549,0.017107
1.0643,0.017687
1.0737,0.018281
1.0832,0.018889
1.0926,0.01951
1.102,0.020146
1.1114,0.020796
1.1208,0.02146
1.1303,0.022139
